,Launchpad,Project Name,Ticker Symbol,Blockchain,Cross-Chain,Category,Sub-Category,Market Cap,Market Cap (modified),Volume 24 hr,Volume 24 hr (modified),TGE ROI,TGE ROI (modified),TGE Mod 2 (Add 1),ATH TGE ROI,ATH TGE ROI (modified),ATH TGE mod 2 (add 1),Raise by Launchpad,Raise by Launchpad (modified),Total Raise ,Total Raise (modified),IDO Start Date,IDO End Date,ATH Date,Days to reach ATH,Status
,BSCPad,WagyuSwap,WAG,BNB,YES,DeFi,"bnb chain ecosystem, dex, staking, dapp",$ 685.85K,685850,$ 24.24K,24240,1.47x,1.47,2.47,333.38x,333.38,334.38,$ 125.00K,125000,$ 225.00K,225000,9/6/2021,9/6/2021,11/2/2021,57,ACTIVE
,BSCPad,NFTLaunch,NFTL,Ethereum,NO,NFT,"marketplace, nft, staking, launchpad, collectibles",$ 1.19M,1190000,$ 9.78K,9780,5.89x,5.89,6.89,317.54x,317.54,318.54,$ 101.25K,101250,$ 288.73K,288730,9/2/2021,9/3/2021,11/13/2021,71,ACTIVE
,BSCPad,GameZone,GZONE,BNB,YES,DeFi,"bnb chain ecosystem, nft, play to earn, staking, launchpad",$ 10.83M,10830000,$ 44.33K,44330,5.31x,5.31,6.31,236.55x,236.55,237.55,$ 112.50K,112500,$ 112.50K,112500,9/29/2021,9/29/2021,11/17/2021,49,ACTIVE
,BSCPad,BitOrbit,BITORB,BNB,NO,Social,"bnb chain ecosystem, social media",$ 308.45K,308450,$ 1.16K,1160,1.00x,1.00,2,201.47x,201.47,202.47,$ 129.00K,129000,$ 290.00K,290000,11/3/2021,11/3/2021,11/4/2021,1,ACTIVE
,BSCPad,CrossWallet,CWT,BNB,YES,Blockchain Infrastructure,"cross-chain, dapp, staking, governance, tron ecosystem, wallet",$ 2.92M,2920000,$569.24 ,569.24,11.75x,11.75,12.75,199.76x,199.76,200.76,$ 149.25K,149250,$ 298.50K,298500,6/20/2021,6/20/2021,11/12/2021,145,ACTIVE
,BSCPad,AIOZ Network,AIOZ,Ethereum,YES,Blockchain Infrastructure,dapp,$ 44.38M,44380000,$ 470.93K,470930,4.68x,4.68,5.68,184.91x,184.91,185.91,$ 100.00K,100000,$ 1.35M,1350000,4/1/2021,4/1/2021,4/2/2021,1,ACTIVE
,BSCPad,BSC Station,BSCS,BNB,NO,DeFi,"nft, marketplace",$ 688.76K,688760,$ 653.64K,653640,1.77x,1.77,2.77,121.26x,121.26,122.26,$ 80.00K,80000,$ 885.00K,885000,4/20/2021,5/1/2021,4/20/2021,-11,ACTIVE
,BSCPad,Blind Boxes,BLES,Ethereum,NO,DeFi,"governance, nft, launchpad, marketplace, dapp, collectibles",$ 158.76K,158760,$ 28.71K,28710,0.06x,0.06,1.06,80.78x,80.78,81.78,$ 150.00K,150000,$ 2.45M,2450000,3/25/2021,3/27/2021,3/25/2021,-2,ACTIVE
,BSCPad,Ghospers Game,GHSP,BNB,NO,GameFi,"marketplace, nft, play to earn",$ 50.58K,50580,$518.96 ,518.96,0.32x,0.32,1.32,64.10x,64.10,65.1,$ 10.00K,10000,$ 110.00K,110000,10/29/2021,10/29/2021,10/31/2021,2,ACTIVE
,BSCPad,Lovelace World,LACE,BNB,NO,NFT,"marketplace, metaverse, launchpad, play to eanr",$ 1.03M,1030000,$ 58.45K,58450,0.22x,0.22,1.22,47.32x,47.32,48.32,$ 150.00K,150000,$ 1.60M,1600000,11/22/2021,11/22/2021,11/22/2021,0,ACTIVE
,BSCPad,Medacoin,MEDA,BNB,NO,GameFi,"nft, marketplace",0,0,0,0,0.74x,0.74,1.74,45.98x,45.98,46.98,$ 90.00K,90000,$ 90.00K,90000,9/12/2021,9/12/2021,9/26/2021,14,INACTIVE
,BSCPad,CrossSwap,CSWAP,BNB,YES,DeFi,"bnb chain ecosystem, dex, cross-chain, exchange token",$ 406.06K,406060,$580.58 ,580.58,2.03x,2.03,3.03,39.60x,39.60,40.6,$ 90.00K,90000,$ 90.00K,90000,8/26/2021,8/26/2021,11/30/2021,96,ACTIVE
,BSCPad,Qmall,QMALL,BNB,YES,CeFi,"cex, exchange token, bnb chain ecosystem",$ 18.94M,18940000,$ 853.71K,853710,19.50x,19.50,20.5,39.09x,39.09,40.09,$ 300.00K,300000,$ 550.00K,550000,2/14/2022,2/14/2022,5/4/2022,79,ACTIVE
,BSCPad,Operon Origins,ORO,BNB,NO,GameFi,"bnb chain ecosystem, collectibles, marketplace, nft, play to earn",$ 79.87K,79870,$ 37.82K,37820,0.10x,0.10,1.1,36.26x,36.26,37.26,$ 200.00K,200000,$ 1.90M,1900000,12/1/2021,12/1/2021,12/1/2021,0,ACTIVE
,BSCPad,Verve,VERVE,BNB,YES,GameFi,"social media, bnb chain ecosystem",$ 261.03K,261030,$497.29 ,497.29,1.04x,1.04,2.04,34.14x,34.14,35.14,$ 100.00K,100000,$ 200.00K,200000,1/19/2022,1/19/2022,2/5/2022,17,ACTIVE
,BSCPad,Swapz,SWAPZ,BNB,YES,DeFi,"amm, dapp, staking, tron ecosystem, exchange token, dex",$ 812.06K,812060,$210.94 ,210.94,0.87x,0.87,1.87,27.35x,27.35,28.35,$ 112.50K,112500,$ 237.50K,237500,6/30/2021,6/30/2021,11/14/2021,137,ACTIVE
,BSCPad,Polker,PKR,BNB,YES,GameFi,"nft, staking, tron ecosystem",$ 759.87K,759870,$ 78.01K,78010,0.29x,0.29,1.29,25.62x,25.62,26.62,$ 150.75K,150750,$ 1.93M,1930000,6/24/2021,6/24/2021,11/10/2021,139,ACTIVE
,BSCPad,Stack,OSSTACK,Ethereum,YES,Cloud Computing,"governance, marketplace, staking, nft, polygon ecosystem, bnb chain ecosystem",$ 7.84M,7840000,$ 16.70K,16700,1.32x,1.32,2.32,24.52x,24.52,25.52,$ 210.00K,210000,$ 420.00K,420000,4/22/2021,4/22/2021,11/14/2021,206,ACTIVE
,BSCPad,Raze Network,RAZE,Ethereum,NO,Blockchain Service,"polkadot ecosystem, governance, polygon ecosystem",$ 513.73K,513730,$ 17.65K,17650,0.03x,0.03,1.03,23.87x,23.87,24.87,$ 50.00K,50000,$ 467.50K,467500,4/9/2021,4/9/2021,4/12/2021,3,ACTIVE
,BSCPad,Outer Ring,GQ,BNB,NO,GameFi,"marketplace, nft, play to earn",$ 2.32M,2320000,$ 937.01K,937010,0.72x,0.72,1.72,22.93x,22.93,23.93,$ 200.00K,200000,$ 7.38M,7380000,3/2/2022,3/2/2022,3/30/2022,28,ACTIVE
,BSCPad,O3 Swap,O3,Ethereum,YES,DeFi,"staking, amm, governance, yield farming, cross-chain, solana ecosystem, heco ecosystem, exchange token, dex",$ 5.09M,5090000,$ 355.69K,355690,0.14x,0.14,1.14,18.63x,18.63,19.63,$ 150.00K,150000,$ 6.47M,6470000,5/11/2021,5/11/2021,5/12/2021,1,ACTIVE
,BSCPad,Dexsport,DESU,BNB,NO,GameFi,"bnb chain ecosystem, sports, gambling and betting",$ 437.89K,437890,$ 10.12K,10120,0.33x,0.33,1.33,17.61x,17.61,18.61,$ 230.00K,230000,$ 2.66M,2660000,11/11/2021,11/11/2021,11/17/2021,6,ACTIVE
,BSCPad,Identity,IDTT,Ethereum,NO,Blockchain Service,verification,0,0,$50.25 ,50.25,0.85x,0.85,1.85,17.46x,17.46,18.46,$ 80.00K,80000,$ 160.00K,160000,9/14/2021,9/14/2021,11/28/2021,75,ACTIVE
,BSCPad,Dot.Finance,PINK,BNB,NO,DeFi,"polkadot ecosystem, yield aggregator, yield farming, staking",$ 31.59K,31590,$303.23 ,303.23,0.11x,0.11,1.11,17.45x,17.45,18.45,$ 90.00K,90000,$ 1.42M,1420000,6/17/2021,6/17/2021,8/9/2021,53,ACTIVE
,BSCPad,Cook Protocol,COOK,Ethereum,YES,DeFi,governance,$ 1.10M,1100000,$ 62.60K,62600,0.02x,0.02,1.02,15.92x,15.92,16.92,$ 100.00K,100000,$ 588.70K,588700,3/30/2021,3/30/2021,3/30/2021,0,ACTIVE
,BSCPad,Privi Trax,TRAX,BNB,NO,DeFi,"dapp, metaverse, bnb chain ecosystem",$ 3.52K,3520,0,0,0.20x,0.20,1.2,11.73x,11.73,12.73,$ 135.00K,135000,$ 485.00K,485000,8/9/2021,8/9/2021,8/10/2021,1,ACTIVE
,BSCPad,KELVPN,KEL,Ethereum,YES,Blockchain Service,"governance, staking",$ 52.06K,52060,$ 2.45K,2450,0.07x,0.07,1.07,11.10x,11.10,12.1,$ 50.00K,50000,$ 2.47M,2470000,4/16/2021,4/16/2021,4/18/2021,2,ACTIVE
,BSCPad,Media Industry Licensing Content,MLT,Ethereum,YES,Blockchain Service,"marketplace, governance, staking, metaverse",$ 13.90M,13900000,$ 313.08K,313080,1.66x,1.66,2.66,10.10x,10.10,11.1,$ 170.00K,170000,$ 4.55M,4550000,5/16/2021,5/16/2021,11/24/2021,192,ACTIVE
,BSCPad,HappyFans,HAPPY,BNB,YES,Social,"privacy, marketplace, nft, payments, bnb chain ecosystem",$ 207.04K,207040,$ 168.72K,168720,0.12x,0.12,1.12,8.67x,8.67,9.67,$ 250.00K,250000,$ 1.50M,1500000,11/9/2021,11/9/2021,10/22/2021,-18,ACTIVE
,BSCPad,Freela,FREL,Ethereum,YES,DeFi,"governance, payments, staking, marketplace",$ 23.66K,23660,$ 118.65K,118650,0.03x,0.03,1.03,8.11x,8.11,9.11,$ 75.00K,75000,$ 1.54M,1540000,5/26/2021,5/26/2021,5/26/2021,0,ACTIVE
,BSCPad,Lever Network,LEV,Ethereum,YES,DeFi,"amm, loan, governance, dex",$ 187.65K,187650,$ 14.11K,14110,0.05x,0.05,1.05,7.97x,7.97,8.97,$ 135.00K,135000,$ 2.39M,2390000,5/2/2021,5/2/2021,5/9/2021,7,ACTIVE
,BSCPad,Katana Inu,KATA,Ethereum,YES,GameFi,"bnb chain ecosystem, collectibles, marketplace, nft, play to earn, staking",$ 867.90K,867900,$ 763.48K,763480,0.19x,0.19,1.19,7.54x,7.54,8.54,$ 700.00K,700000,$ 1.40M,1400000,12/22/2021,12/22/2021,12/26/2021,4,ACTIVE
,BSCPad,Smoothy,SMTY,Ethereum,YES,DeFi,amm,$ 1.17M,1170000,$ 192.02K,192020,0.03x,0.03,1.03,7.21x,7.21,8.21,$ 100.00K,100000,$ 3.42M,3420000,4/21/2021,4/21/2021,4/26/2021,5,ACTIVE
,BSCPad,BlockBank,BBANK,Ethereum,YES,DeFi,"dapp, staking, insurance, bnb chain ecosystem, cross-chain",$ 2.83M,2830000,$ 41.54K,41540,0.09x,0.09,1.09,6.82x,6.82,7.82,$ 1.00M,1000000,$ 11.59M,11590000,4/27/2021,4/27/2021,4/27/2021,0,ACTIVE
,BSCPad,Flourishing ,AIAI,BNB,NO,Blockchain Service,"bnb chain ecosystem, portfolio management, ai",$ 24.41K,24410,$ 1.91K,1910,0.09x,0.09,1.09,6.12x,6.12,7.12,$ 63.00K,63000,$ 202.00K,202000,9/19/2021,9/19/2021,11/5/2021,47,ACTIVE
,BSCPad,Mozik,MOZ,BNB,NO,DeFi,"marketplace, social, music",$ 242.74K,242740,0,0,0.48x,0.48,1.48,5.82x,5.82,6.82,$ 100.00K,100000,$ 2.91M,2910000,6/5/2021,6/5/2021,6/6/2021,1,ACTIVE
,BSCPad,XP Network,XPNET,BNB,YES,NFT,"collectibles, bnb chain ecosystem, polkadot ecosystem, solana ecosystem, tron ecosystem, cross-chain, avalanche ecosystem, heco ecosystem, dapp",$ 1.38M,1380000,$ 64.43K,64430,0.16x,0.16,1.16,5.79x,5.79,6.79,$ 500.00K,500000,$ 6.43M,6430000,9/13/2021,9/13/2021,11/1/2021,49,ACTIVE
,BSCPad,World of Defish,WOD,BNB,NO,GameFi,"bnb chain ecosystem, governance, marketplace, metaverse, nft, play to earn",$ 17.11K,17110,$ 6.20K,6200,0.05x,0.05,1.05,5.78x,5.78,6.78,$ 175.02K,175020,$ 955.02K,955020,12/28/2021,12/28/2021,12/28/2021,0,ACTIVE
,BSCPad,TradeStars,TSX,Ethereum,YES,GameFi,"amm, governance, marketplace, nft",$ 213.16K,213160,$ 9.71K,9710,0.09x,0.09,1.09,5.63x,5.63,6.63,$ 120.00K,120000,$ 1.91M,1910000,5/3/2021,5/3/2021,5/3/2021,0,ACTIVE
,BSCPad,Metafluence,METO,BNB,NO,Social,"bnb chain ecosystem, collectibles, metaverse, nft, governance, marketplace",$ 81.56K,81560,$ 422.22K,422220,0.25x,0.25,1.25,5.41x,5.41,6.41,$ 300.00K,300000,$ 1.15M,1150000,1/23/2022,1/23/2022,2/6/2022,14,ACTIVE
,BSCPad,Tidex Token,TDX,Ethereum,YES,CeFi,"cex, exchange token",$ 2.25M,2250000,$ 626.22K,626220,2.03x,2.03,3.03,5.30x,5.30,6.3,$ 24.00K,24000,$ 6.16M,6160000,6/14/2022,6/14/2022,6/22/2022,8,ACTIVE
,BSCPad,EQIFI,EQX,Ethereum,YES,DeFi,"loan, yield aggregator, governance, bnb chain ecosystem, payments",$ 4.76M,4760000,$ 160.64K,160640,0.14x,0.14,1.14,4.97x,4.97,5.97,$ 84.38K,84380,$ 9.80M,9800000,8/1/2021,8/1/2021,9/1/2021,31,ACTIVE
,BSCPad,Decubate,DCB,BNB,NO,DeFi,"staking, governance, launchpad, cross-chain, nft",$ 460.92K,460920,$ 1.16K,1160,0.25x,0.25,1.25,4.87x,4.87,5.87,$ 90.00K,90000,$ 664.00K,664000,7/5/2021,7/5/2021,10/5/2021,92,ACTIVE
,BSCPad,Atlantis Metaverse,TAU,BNB,NO,GameFi,"bnb chain ecosystem, marketplace, metaverse, nft",$ 47.65K,47650,$313.04 ,313.04,0.03x,0.03,1.03,4.30x,4.30,5.3,$ 125.00K,125000,$ 1.88M,1880000,12/7/2021,12/7/2021,12/8/2021,1,ACTIVE
,BSCPad,Roseon Finance,ROSN,BNB,NO,DeFi,"yield aggregator, nft, yield farming, cross-chain, dapp, exchange aggregator, bnb chain ecosystem, launchpad",$ 1.10M,1100000,$ 1.17M,1170000,0.16x,0.16,1.16,4.25x,4.25,5.25,$ 90.00K,90000,$ 2.10M,2100000,5/9/2021,5/9/2021,11/19/2021,194,ACTIVE
,BSCPad,SafeLaunch,SFEX,BNB,NO,DeFi,"cross-chain, bnb chain ecosystem, launchpad, staking, yield farming",$ 45.38K,45380,$482.73 ,482.73,0.24x,0.24,1.24,4.20x,4.20,5.2,$ 112.50K,112500,$ 212.50K,212500,7/4/2021,7/4/2021,11/12/2021,131,ACTIVE
,BSCPad,Fanadise,FAN,BNB,NO,DeFi,"nft, marketplace, staking",$ 1.43K,1430,$ 40.52K,40520,0.00x,0.00,1,3.96x,3.96,4.96,$ 200.00K,200000,$ 1.61M,1610000,7/28/2021,7/28/2021,7/28/2021,0,ACTIVE
,BSCPad,Spherium,SPHRI,Ethereum,NO,DeFi,"payments, marketplace, cross-chain, amm, governance, bridge",$ 409.36K,409360,$ 7.43K,7430,0.10x,0.10,1.1,3.89x,3.89,4.89,$ 125.00K,125000,$ 3.96M,3960000,6/15/2021,6/15/2021,8/17/2021,63,ACTIVE
,BSCPad,InvestDex,INVEST,BNB,NO,Blockchain Service,dapp,$ 192.74K,192740,$104.97 ,104.97,0.11x,0.11,1.11,3.12x,3.12,4.12,$ 90.00K,90000,$ 837.50K,837500,6/13/2021,6/13/2021,12/5/2021,175,ACTIVE
,BSCPad,VikingsChain,VIKC,BNB,NO,GameFi,dapp,$ 10.95K,10950,0,0,0.04x,0.04,1.04,3.03x,3.03,4.03,0,0,$ 198.00K,198000,9/15/2021,9/15/2021,10/2/2021,17,INACTIVE
,BSCPad,Marvelous NFTs,MNFT,BNB,YES,GameFi,"nft, collectibles, play to earn, marketplace, bnb chain ecosystem, polygon ecosystem",$ 130.74K,130740,$ 59.21K,59210,0.11x,0.11,1.11,2.71x,2.71,3.71,$ 300.06K,300060,$ 2.07M,2070000,1/13/2022,1/13/2022,1/15/2022,2,ACTIVE
,BSCPad,Ydragon,YDR,Ethereum,YES,DeFi,"cross-chain, governance, index, yield farming, bnb chain ecosystem",$ 102.97K,102970,$12.94 ,12.94,0.02x,0.02,1.02,2.68x,2.68,3.68,$ 800.00K,800000,$ 1.69M,1690000,8/12/2021,8/13/2021,9/8/2021,26,ACTIVE
,BSCPad,MetaShooter,MHUNT,Polygon,YES,GameFi,"nft, polygon ecosystem, metaverse, sports, play to earn",$ 205.98K,205980,$ 540.79K,540790,0.29x,0.29,1.29,2.57x,2.57,3.57,$ 335.00K,335000,$ 1.23M,1230000,4/20/2022,4/20/2022,4/20/2022,0,ACTIVE
,BSCPad,ADAO,ADAO,Cardano,YES,DeFi,"assets, governance, bnb chain ecosystem, dao",$ 87.40K,87400,$ 6.23K,6230,0.13x,0.13,1.13,2.16x,2.16,3.16,$ 370.00K,370000,$ 1.95M,1950000,3/20/2022,3/20/2022,3/24/2022,4,ACTIVE
,BSCPad,X22,X22,BNB,NO,Social,"social network, art",$ 3.22K,3220,0,0,0.00x,0.00,1,2.16x,2.16,3.16,$ 250.00K,250000,$ 2.09M,2090000,7/18/2021,7/18/2021,7/25/2021,7,ACTIVE
,BSCPad,Alium Finance,ALM,BNB,YES,DeFi,"amm, cross-chain, nft, exchange token, dex",$ 48.40K,48400,$ 179.82K,179820,0.05x,0.05,1.05,2.08x,2.08,3.08,$ 445.00K,445000,$ 3.25M,3250000,5/17/2021,5/17/2021,5/27/2021,10,ACTIVE
,BSCPad,NFT Stars,NFTS,Ethereum,NO,NFT,"cross-chain, marketplace",$ 194.78K,194780,0,0,0.07x,0.07,1.07,1.91x,1.91,2.91,$ 250.00K,250000,$ 500.00K,500000,6/4/2021,6/4/2021,6/6/2021,2,ACTIVE
,BSCPad,Liquidifty,LQT,BNB,NO,NFT,"bnb chain ecosystem, nft, marketplace",$ 1.09M,1090000,$48.12 ,48.12,0.03x,0.03,1.03,1.58x,1.58,2.58,$ 200.00K,200000,$ 600.00K,600000,6/14/2021,6/14/2021,8/24/2021,71,ACTIVE
,BSCPad,ADALend,ADAL,Cardano,YES,DeFi,"dao, lending/borrowing, dapp, governance, staking, bnb chain ecosystem",$ 12.74K,12740,$ 4.93K,4930,0.03x,0.03,1.03,1.54x,1.54,2.54,$ 350.00K,350000,$ 6.02M,6020000,3/13/2022,3/13/2022,3/23/2022,10,ACTIVE
,BSCPad,NeoFi,NEOFI,BNB,NO,CeFi,"portfolio management, staking, bnb chain ecosystem",$ 42.05K,42050,$ 47.29K,47290,0.12x,0.12,1.12,1.40x,1.40,2.4,$ 200.00K,200000,$ 275.00K,275000,3/21/2022,3/21/2022,3/27/2022,6,ACTIVE
,BSCPad,WeWay,WWY,Ethereum,YES,Blockchain Service,"collectibles, art, nft, bnb chain ecosystem",$ 63.29M,63290000,$ 1.78M,1780000,0.41x,0.41,1.41,1.19x,1.19,2.19,$ 300.00K,300000,$ 2.40M,2400000,1/10/2022,1/10/2022,5/6/2022,116,ACTIVE
,BSCPad,Polar Sync,POLAR,BNB,NO,Blockchain Service,"dapp, api",$ 5.37M,5370000,0,0,0.40x,0.40,1.4,1.15x,1.15,2.15,$ 1.00M,1000000,$ 1.00M,1000000,8/29/2021,8/29/2021,9/3/2021,5,INACTIVE
,BSCPad,MeDIA eYe,EYE,Ethereum,YES,NFT,"bnb chain ecosystem, collectibles, marketplace",$ 253.20K,253200,$ 245.39K,245390,0.02x,0.02,1.02,1.09x,1.09,2.09,$ 1.50M,1500000,$ 3.50M,3500000,11/18/2021,11/18/2021,11/21/2021,3,ACTIVE
,BSCPad,Greenheart,CBD,BNB,NO,DeFi,"dapp, staking, loan, governance",$ 285.05K,285050,$ 150.27K,150270,0.31x,0.31,1.31,0.96x,0.96,1.96,$ 450.00K,450000,$ 5.75M,5750000,5/5/2021,5/6/2021,8/24/2021,110,ACTIVE
,BSCPad,Xion,XGT,BNB,NO,DeFi,"bnb chain ecosystem, yield farming, cross-chain",0,0,$ 6.30K,6300,0.04x,0.04,1.04,0.92x,0.92,1.92,$ 113.40K,113400,$ 914.40K,914400,7/6/2021,7/6/2021,12/6/2021,153,ACTIVE
,BSCPad,Demodyfi,DMOD,Ethereum,NO,DeFi,yield aggregator,$ 61.71K,61710,0,0,0.03x,0.03,1.03,0.89x,0.89,1.89,$ 300.00K,300000,$ 600.00K,600000,6/9/2021,6/9/2021,8/14/2021,66,INACTIVE
,BSCPad,PolkaTrail,TRAIL,BNB,NO,DeFi,"nft, travel",0,0,0,0,0.00x,0.00,1,0.36x,0.36,1.36,$ 200.00K,200000,$ 200.00K,200000,6/22/2021,6/22/2021,8/14/2021,53,ACTIVE
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
