ido_id,launchpad_id,project_id,blockchain,ido_start_date,ido_end_date,ath_date,days_to_reach_ath,raised_by_ido,total_raised
1,1,1,Ethereum,2021-07-26,2021-07-26,2021-11-19,116,12500000,13830000
2,1,2,Ethereum,2021-09-14,2021-09-21,2021-11-02,42,400000,400000
3,1,3,Ethereum,2021-11-14,2021-11-16,2021-11-19,3,18240000,25440000
4,1,4,Ethereum,2021-10-25,2021-10-25,2021-10-31,6,150500,150500
5,1,5,Ethereum,2021-08-29,2021-08-29,2021-11-11,74,379260000,609260000
6,1,6,Ethereum,2021-12-10,2021-12-19,2021-12-17,-2,428570,478570
7,1,7,Ethereum,2021-08-09,2021-08-16,2021-08-16,0,8800000,8800000
8,1,8,Ethereum,2021-11-30,2021-12-02,2021-12-03,1,38000000,40050000
9,1,9,Ethereum,2021-10-26,2021-10-31,2022-01-20,81,16000000,16060000
10,1,10,Ethereum,2021-06-13,2021-06-13,2021-08-04,52,830020,830020
11,1,11,Ethereum,2021-06-13,2021-06-13,2021-08-25,73,130650,274680
12,2,12,BNB,2021-09-07,2021-09-07,2021-11-16,70,95000,2250000
13,2,13,Ethereum,2021-02-01,2021-02-02,2021-03-14,40,100000,2200000
14,2,14,Ethereum,2020-07-13,2020-07-13,2021-03-21,251,3750000,7460000
15,2,15,Ethereum,2021-11-22,2021-11-24,2021-12-09,15,100000,13870000
16,2,16,Ethereum,2021-07-25,2021-07-29,2021-11-24,118,360000,2080000
17,2,17,Ethereum,2021-06-10,2021-06-11,2021-11-17,159,900000,6190000
18,2,18,Avalanche,2022-04-10,2022-04-20,2022-05-04,14,2750000,2750000
19,2,19,Ethereum,2021-05-02,2021-05-16,2022-01-16,245,755000,3970000
20,2,20,BNB,2021-12-13,2021-12-14,2021-12-15,1,95000,3720000
21,2,21,BNB,2021-10-03,2021-10-04,2021-11-24,51,125000,1700000
22,2,22,Ethereum,2020-08-14,2020-08-16,2021-02-16,184,250000,250000
23,2,23,Ethereum,2021-04-19,2021-04-21,2021-05-11,20,145000,2170000
24,2,24,Solana,2021-12-15,2021-12-16,2022-01-15,30,95000,4990000
25,2,25,Ethereum,2021-09-01,2021-09-08,2021-12-02,85,110000,4290000
26,2,26,BNB,2021-11-06,2021-11-07,2021-11-24,17,100000,1940000
27,2,27,Ethereum,2021-10-25,2021-10-26,2021-11-15,20,100000,3170000
28,2,28,Ethereum,2021-11-09,2021-11-11,2021-11-27,16,1200000,6560000
29,2,29,Ethereum,2021-03-01,2021-03-10,2021-03-18,8,150000,1050000
30,2,30,Ethereum,2021-05-22,2021-05-29,2021-11-23,178,180000,4470000
31,2,31,Ethereum,2021-01-24,2021-01-26,2021-03-15,48,60000,764000
32,2,32,BNB,2021-12-19,2021-12-20,2022-01-04,15,95000,3390000
33,2,33,BNB,2021-11-15,2021-11-17,2021-11-24,7,100000,2280000
34,2,34,Ethereum,2021-09-26,2021-09-27,2021-10-14,17,450000,5100000
35,2,35,BNB,2021-05-13,2021-05-16,2021-05-16,0,170000,1380000
36,2,36,BNB,2021-07-25,2021-07-25,2021-08-05,11,200000,1320000
37,2,37,Ethereum,2021-08-01,2021-08-01,2021-12-04,125,340000,2390000
38,2,38,Polygon,2021-09-09,2021-09-09,2021-09-22,13,168000,1190000
39,2,39,BNB,2022-02-28,2022-03-02,2022-04-02,31,200000,2840000
40,2,40,BNB,2021-10-05,2021-10-06,2021-11-24,49,100000,1550000
41,2,41,BNB,2021-09-22,2021-09-23,2021-11-24,62,116000,1950000
42,2,42,Ethereum,2021-05-17,2021-05-19,2021-11-28,193,95000,1240000
43,2,43,Ethereum,2021-02-09,2021-02-13,2021-04-01,47,250000,7100000
44,2,44,BNB,2021-07-04,2021-07-11,2021-11-28,140,100000,700000
45,2,45,BNB,2021-09-30,2021-10-03,2021-11-28,56,125000,3650000
46,2,46,Ethereum,2021-05-27,2021-05-29,2021-10-18,142,200000,2700000
47,2,47,BNB,2021-11-18,2021-11-21,2021-11-25,4,150000,2350000
48,2,48,Solana,2021-04-13,2021-04-20,2021-04-25,5,149850,1350000
49,2,49,BNB,2021-11-11,2021-11-14,2021-11-29,15,120000,2050000
50,2,50,Ethereum,2021-02-14,2021-02-19,2021-03-27,36,100000,2130000
51,2,51,Ethereum,2021-05-16,2021-05-23,2021-09-01,101,150000,1540000
52,2,52,Ethereum,2019-01-14,2019-01-16,2021-04-06,811,950000,950000
53,2,53,Ethereum,2021-03-07,2021-03-14,2021-03-09,-5,100000,3150000
54,2,54,Ethereum,2021-09-27,2021-09-28,2021-11-29,62,250000,2200000
55,2,55,Ethereum,2021-05-26,2021-05-27,2021-06-06,10,150000,4280000
56,2,56,BNB,2021-10-10,2021-10-11,2021-10-12,1,200000,3220000
57,2,57,BNB,2021-11-28,2021-11-29,2021-12-02,3,135000,2880000
58,2,58,Ethereum,2021-02-22,2021-02-23,2021-03-04,9,165000,932000
59,2,59,Ethereum,2021-05-20,2021-05-27,2021-09-01,97,100000,3520000
60,2,60,Polygon,2021-08-29,2021-08-30,2021-09-03,4,100000,1610000
61,2,61,HECO,2021-04-29,2021-05-01,2021-06-01,31,100000,1690000
62,2,62,BNB,2022-07-17,2022-07-18,2022-07-21,3,250000,3150000
63,2,63,Ethereum,2021-09-21,2021-09-22,2021-11-23,62,500000,4540000
64,2,64,Ethereum,2021-04-20,2021-04-27,2021-11-07,194,1000000,37900000
65,2,65,BNB,2021-10-15,2021-10-17,2021-11-02,16,100000,1690000
66,2,66,Ethereum,2020-12-06,2020-12-12,2021-03-23,101,125000,1400000
67,2,67,Ethereum,2021-03-02,2021-03-05,2021-03-16,11,300000,1840000
68,2,68,Ethereum,2021-03-21,2021-03-24,2021-05-10,47,875000,2090000
69,2,69,Ethereum,2021-04-27,2021-05-02,2021-05-11,9,156000,1500000
70,2,70,Terra Classic,2021-11-29,2021-11-30,2021-10-02,-59,150000,3000000
71,2,71,BNB,2022-07-11,2022-07-14,2022-07-17,3,600000,1190000
72,2,72,Ethereum,2021-04-29,2021-05-05,2021-05-05,0,300000,2110000
73,2,73,Avalanche,2022-05-23,2022-07-08,2022-07-19,11,895000,5590000
74,2,74,Ethereum,2021-06-06,2021-07-17,2021-06-18,-29,200000,3600000
75,2,75,Ethereum,2021-09-05,2021-09-05,2021-09-16,11,280000,3220000
76,2,76,Ethereum,2021-05-09,2021-05-16,2021-11-23,191,200000,1800000
77,2,77,BNB,2021-06-01,2021-06-06,2021-07-15,39,305000,1950000
78,2,78,BNB,2021-08-26,2021-08-27,2021-10-24,58,100000,1840000
79,2,79,Ethereum,2021-11-03,2021-11-04,2021-11-14,10,240000,4590000
80,2,80,Ethereum,2021-04-25,2021-04-27,2021-04-28,1,165000,2440000
81,2,81,Solana,2021-12-06,2021-12-07,2021-12-08,1,110000,3500000
82,2,82,Ethereum,2020-09-25,2020-09-30,2020-10-12,12,250000,3240000
83,2,83,BNB,2021-12-14,2021-12-15,2021-12-19,4,280000,2670000
84,2,84,Polygon,2021-09-02,2021-09-03,2021-09-07,4,200000,3220000
85,2,85,Solana,2021-12-07,2021-12-08,2021-12-14,6,147000,2350000
86,2,86,Secret Network,2021-04-27,2021-05-04,2021-05-04,0,795000,11200000
87,2,87,BNB,2021-11-27,2021-11-28,2021-11-29,1,250000,575000
88,2,88,BNB,2021-04-22,2021-04-22,2021-04-26,4,95000,595000
89,2,89,Ethereum,2021-08-21,2021-08-21,2021-08-31,10,100000,2120000
90,2,90,Ethereum,2021-10-31,2021-11-01,2021-11-02,1,130000,2630000
91,2,91,Celo,2021-11-13,2021-11-13,2021-11-22,9,1230000,5720000
92,2,92,BNB,2022-02-15,2022-02-17,2022-04-15,57,195000,1920000
93,2,93,Ethereum,2021-04-11,2021-04-26,2021-05-11,15,150000,2100000
94,2,94,Ethereum,2021-05-02,2021-05-06,2021-05-09,3,100000,2390000
95,2,95,Ethereum,2021-04-23,2021-04-26,2021-04-26,0,200000,3420000
96,2,96,Ethereum,2021-11-24,2021-11-25,2022-01-15,51,440000,9540000
97,2,97,Ethereum,2022-01-04,2022-01-14,2022-02-15,32,550000,3250000
98,2,98,Ethereum,2022-01-20,2022-01-24,2022-01-26,2,245000,4510000
99,2,99,BNB,2021-12-18,2021-12-19,2022-02-09,52,195000,2880000
100,2,100,BNB,2022-02-01,2022-02-03,2022-02-08,5,115000,2350000
101,2,101,Polygon,2022-01-05,2022-01-10,2022-01-12,2,200000,3750000
102,2,102,Ethereum,2021-04-21,2021-04-26,2021-04-27,1,195000,2560000
103,2,103,Cardano,2022-04-03,2022-04-03,2022-04-05,2,195000,3090000
104,2,104,Avalanche,2021-06-15,2021-06-16,2021-07-08,22,250000,2000000
105,2,105,Ethereum,2020-09-18,2020-09-22,2020-10-11,19,96000,1330000
106,2,106,Polygon,2021-12-05,2021-12-06,2021-12-16,10,300000,2150000
107,2,107,Ethereum,2021-05-21,2021-05-28,2021-08-17,81,195000,3960000
108,2,108,Fantom,2022-01-12,2022-01-13,2022-04-17,94,95000,2060000
109,2,109,Solana,2022-01-18,2022-01-25,2022-01-31,6,1500000,13000000
110,2,110,Avalanche,2022-02-17,2022-02-20,2022-03-12,20,600000,4400000
111,2,111,Cardano,2022-07-03,2022-07-13,2022-07-13,0,2250000,3250000
112,3,112,BNB,2021-09-15,2021-09-15,2021-11-24,70,100000,300000
113,3,113,Solana,2021-08-29,2021-09-01,2021-09-03,2,248400,996800
114,3,114,Ethereum,2021-04-01,2021-04-01,2021-04-02,1,155000,1350000
115,3,115,Ethereum,2021-04-11,2021-04-11,2021-04-12,1,75000,7800000
116,3,116,Solana,2021-08-29,2021-09-01,2021-09-03,2,248400,996800
117,3,117,Ethereum,2021-03-30,2021-03-30,2021-03-30,0,219000,2170000
118,3,118,Ethereum,2021-12-14,2021-12-14,2021-12-31,17,200000,9720000
119,3,119,Ethereum,2021-03-25,2021-03-25,2021-03-27,2,150000,2450000
120,3,120,Ethereum,2021-05-12,2021-05-12,2022-01-15,248,100000,150000
121,3,121,BNB,2021-11-04,2021-11-04,2021-11-24,20,125000,2090000
122,3,122,Ethereum,2021-04-08,2021-04-08,2021-04-08,0,100000,1980000
123,3,123,BNB,2021-11-21,2021-11-21,2021-11-22,1,150000,1600000
124,3,124,BNB,2021-10-12,2021-10-12,2021-11-13,32,150000,550000
125,3,46,Ethereum,2021-06-02,2021-06-02,2021-10-18,138,200000,2700000
126,3,125,Ethereum,2021-12-14,2021-12-14,2021-12-31,17,200000,9870000
127,3,126,Ethereum,2021-03-01,2021-03-01,2021-03-03,2,125000,1900000
128,3,127,Ethereum,2021-11-30,2021-11-30,2021-12-07,7,250000,375000
129,3,128,Ethereum,2021-05-27,2021-05-27,2021-06-06,10,200000,4280000
130,3,129,Ethereum,2021-04-04,2021-04-04,2021-04-11,7,750000,12830000
131,3,130,Polygon,2022-01-03,2022-01-04,2022-01-12,8,500000,6500000
132,3,131,Ethereum,2021-04-22,2021-04-22,2021-11-14,206,210000,420000
133,3,132,BNB,2021-09-15,2021-09-15,2021-10-08,23,80000,405850
134,3,133,BNB,2021-12-08,2021-12-08,2021-12-22,14,300000,599980
135,3,134,BNB,2021-08-05,2021-08-05,2021-08-21,16,150000,150000
136,3,135,Avalanche,2021-05-02,2021-05-02,2021-05-04,2,100000,1100000
137,3,136,BNB,2021-06-17,2021-06-17,2021-08-09,53,100000,1420000
138,3,72,Ethereum,2021-05-05,2021-05-05,2021-05-05,0,100000,2110000
139,3,137,BNB,2022-01-11,2022-01-11,2022-01-25,14,142500,462500
140,3,138,BNB,2021-10-21,2021-10-21,2021-10-24,3,200000,2300000
141,3,76,Ethereum,2021-05-09,2021-05-09,2021-11-23,198,200000,1800000
142,3,139,Solana,2021-12-02,2021-12-02,2021-12-12,10,300000,3700000
143,3,140,Polygon,2022-01-27,2022-01-27,2022-01-31,4,400000,18830000
144,3,141,BNB,2021-08-29,2021-08-29,2021-09-01,3,150000,150000
145,3,142,BNB,2021-08-09,2021-08-09,2021-08-10,1,150000,485000
146,3,143,Ethereum,2021-05-16,2021-05-16,2021-05-17,1,500000,1500000
147,3,144,Ethereum,2022-04-27,2022-04-24,2022-05-11,17,400000,1000000
148,3,145,Polygon,2021-04-15,2021-04-15,2021-04-15,0,100000,250000
149,3,146,Ethereum,2021-05-11,2021-05-11,2021-05-11,0,250000,1550000
150,3,147,Ethereum,2021-08-18,2021-08-19,2021-09-16,28,400000,3280000
151,3,93,BNB,2021-04-25,2021-04-25,2021-05-11,16,100000,2100000
152,3,148,BNB,2021-07-26,2021-07-26,2021-07-26,0,200150,1070000
153,3,149,BNB,2021-12-16,2021-12-16,2021-12-16,0,237500,762500
154,3,150,Ethereum,2021-09-07,2021-09-07,2021-11-04,58,300000,400000
155,3,151,Ethereum,2021-08-04,2021-08-04,2021-08-10,6,150000,923750
156,3,95,Ethereum,2021-04-26,2021-04-26,2021-04-26,0,150000,3420000
157,3,152,BNB,2021-07-15,2021-07-15,2021-08-24,40,200000,200000
158,3,153,Ethereum,2022-03-24,2022-03-24,2022-04-04,11,950000,6550000
159,3,154,BNB,2021-06-10,2021-06-10,2021-06-15,5,150000,3380000
160,3,155,Ethereum,2021-04-27,2021-04-27,2021-04-27,0,1000000,11590000
161,3,156,Polygon,2021-11-18,2021-11-18,2021-11-24,6,150000,498000
162,3,157,Moonriver,2022-01-20,2022-01-20,2022-01-26,6,500000,625000
163,3,163,BNB,2021-06-06,2021-06-06,2021-06-06,0,180000,2910000
164,3,158,BNB,2021-11-09,2021-11-10,2022-01-13,64,75000,75000
165,3,159,BNB,2021-06-21,2021-06-21,2021-09-29,100,175000,3630000
166,3,160,Ethereum,2021-06-07,2021-06-07,2021-07-27,50,175000,1370000
167,3,161,Ethereum,2021-12-15,2021-12-15,2022-01-02,18,250000,7540000
168,3,162,Ethereum,2021-10-06,2021-10-06,2022-01-06,92,250600,2010000
169,3,163,Ethereum,2021-06-30,2021-06-30,2021-10-12,104,200000,3000000
170,3,164,BNB,2021-10-27,2021-10-27,2021-10-27,0,150000,2370000
171,3,165,Ethereum,2021-06-22,2021-06-22,2021-11-14,145,150000,1960000
172,3,166,BNB,2021-07-05,2021-07-05,2021-10-05,92,150000,664000
173,3,167,BNB,2021-06-13,2021-06-13,2021-12-06,176,250000,4810000
174,3,168,Ethereum,2022-01-16,2022-01-17,2022-03-23,65,200000,1010000
175,3,169,BNB,2022-04-19,2022-04-19,2022-04-19,0,300000,4100000
176,3,170,BNB,2021-09-12,2021-09-12,2021-12-04,83,200000,200000
177,3,171,BNB,2022-04-18,2022-04-18,2022-04-19,1,300000,4800000
178,3,172,BNB,2022-03-20,2022-03-20,2022-03-31,11,100000,2790000
179,3,173,Ethereum,2021-06-03,2021-06-03,2021-06-03,0,140000,2340000
180,3,174,Ethereum,2021-06-08,2021-06-08,2021-10-09,123,200000,1680000
181,3,175,Ethereum,2021-06-24,2021-06-24,2021-08-07,44,225000,550000
