ido_id,launchpad_id,project_id,blockchain,ido_start_date,ido_end_date,ath_date,days_to_reach_ath,raised_by_ido,total_raised
182,3,176,Polygon,2022-04-17,2022-04-17,2022-04-20,3,200000,1230000
183,3,177,Ethereum,2021-05-11,2021-05-11,2021-05-11,0,2000000,21250000
184,3,178,Ethereum,2021-04-28,2021-04-28,2021-04-30,2,100000,4000000
185,3,179,BNB,2022-04-28,2022-04-28,2022-05-04,6,400000,2380000
186,3,180,BNB,2021-06-14,2021-06-14,2021-08-24,71,200000,600000
187,3,181,BNB,2022-02-21,2022-02-21,2022-02-21,0,1430000,9070000
188,3,182,Polygon,2022-03-23,2022-03-23,2022-04-03,11,200000,907500
189,3,183,Polygon,2022-06-01,2022-06-01,2022-06-01,0,105000,786500
190,3,184,BNB,2022-03-16,2022-03-17,2022-03-27,10,550000,3360000
191,3,185,BNB,2021-09-16,2021-09-16,2021-10-02,16,500000,1330000
192,3,186,Ethereum,2021-06-09,2021-06-09,2021-08-14,66,300000,600000
193,3,187,BNB,2021-08-12,2021-08-12,2021-09-24,43,150000,900000
194,3,188,Ethereum,2021-06-29,2021-06-30,2021-08-22,53,300000,3030000
195,3,189,BNB,2021-10-14,2021-10-15,2021-11-24,40,250000,1070000
196,4,190,Ethereum,2021-03-06,2021-03-07,2021-03-26,19,150000,2680000
197,4,112,BNB,2021-09-15,2021-09-16,2021-11-24,69,200000,300000
198,4,191,Ethereum,2021-02-21,2021-02-21,2021-03-30,37,250000,1450000
199,4,192,Ethereum,2021-03-30,2021-03-30,2021-04-01,2,90000,833000
200,4,193,Ethereum,2021-05-10,2021-05-10,2021-11-26,200,250000,3000000
201,4,194,Ethereum,2021-01-19,2021-01-20,2021-02-17,28,150000,2100000
202,4,195,Ethereum,2021-02-23,2021-02-23,2021-02-23,0,90000,715000
203,4,196,BNB,2021-04-26,2021-04-26,2021-04-29,3,180000,3020000
204,4,197,Ethereum,2021-02-26,2021-02-26,2021-04-07,40,25000,750000
205,4,198,BNB,2021-02-04,2021-02-04,2021-02-21,17,50000,1000000
206,4,199,Ethereum,2021-03-29,2021-03-29,2021-03-29,0,204000,2530000
207,4,200,Polygon,2021-05-09,2021-05-09,2021-05-15,6,305500,2710000
208,4,201,Ethereum,2021-01-14,2021-01-14,2021-02-11,28,60000,60000
209,4,202,Ethereum,2021-04-12,2021-04-12,2021-04-13,1,100000,11610000
210,4,203,BNB,2021-10-20,2021-10-20,2021-10-30,10,195000,1850000
211,4,204,Ethereum,2021-03-24,2021-03-24,2021-03-24,0,300000,3750000
212,4,205,Ethereum,2021-02-08,2021-02-08,2021-02-09,1,250000,900000
213,4,206,BNB,2021-10-13,2021-10-13,2021-11-02,20,180000,4260000
214,4,34,Ethereum,2021-09-28,2021-09-29,2021-10-14,15,400000,5100000
215,4,207,Ethereum,2021-01-29,2021-01-29,2021-02-02,4,150000,1760000
216,4,208,Ethereum,2020-12-16,2020-12-17,2021-01-17,31,125000,875000
217,4,209,Ethereum,2021-02-28,2021-03-02,2021-03-12,10,100000,2800000
218,4,210,Ethereum,2020-12-29,2020-12-29,2021-03-17,78,75000,975000
219,4,211,Ethereum,2021-10-10,2021-10-12,2021-12-16,65,500000,1620000
220,4,212,Ethereum,2021-02-14,2021-02-14,2021-02-14,0,100000,1400000
221,4,213,Ethereum,2021-03-09,2021-03-09,2021-03-13,4,150000,1350000
222,4,214,Ethereum,2021-04-08,2021-04-08,2021-04-15,7,200000,1540000
223,4,215,Ethereum,2021-04-06,2021-04-06,2021-04-06,0,150000,1100000
224,4,216,Ethereum,2021-03-25,2021-03-25,2021-03-27,2,500000,500000
225,4,217,Ethereum,2021-02-07,2021-02-07,2021-04-15,67,200000,200000
226,4,218,Ethereum,2021-01-20,2021-01-20,2021-02-16,27,150000,150000
227,4,219,BNB,2021-11-15,2021-11-15,2021-11-23,8,250000,2410000
228,4,220,Ethereum,2021-04-21,2021-04-21,2022-01-02,256,400000,2400000
229,4,221,Ethereum,2020-12-27,2020-12-27,2021-03-18,81,50000,2050000
230,4,222,BNB,2021-07-07,2021-07-08,2021-08-09,32,384000,1090000
231,4,59,Ethereum,2021-07-11,2021-07-11,2021-09-01,52,150000,3520000
232,4,223,Ethereum,2021-04-13,2021-04-13,2021-04-13,0,125000,125000
233,4,224,Ethereum,2021-05-13,2021-05-13,2021-05-15,2,150000,950000
234,4,225,BNB,2021-05-24,2021-05-24,2021-08-29,97,160000,1000000
235,4,226,Ethereum,2021-11-16,2021-11-17,2021-11-24,7,500000,500000
236,4,227,Ethereum,2021-02-03,2021-02-03,2021-02-03,0,100000,1000000
237,4,228,Ethereum,2021-01-11,2021-01-11,2021-03-01,49,90000,90000
238,4,229,Ethereum,2021-03-17,2021-03-16,2021-04-05,20,150000,2730000
239,4,64,Ethereum,2021-11-07,2021-11-07,2021-11-07,0,500000,37900000
240,4,230,Ethereum,2021-04-15,2021-04-15,2021-04-17,2,250000,4390000
241,4,231,Ethereum,2021-03-01,2021-03-01,2021-04-06,36,125000,1880000
242,4,232,Ethereum,2021-02-25,2021-02-25,2021-03-19,22,250000,250000
243,4,233,Ethereum,2021-12-08,2021-12-08,2021-12-25,17,1170000,1170000
244,4,234,Ethereum,2021-03-02,2021-03-02,2021-03-02,0,100000,1500000
245,4,235,Ethereum,2021-06-08,2021-06-08,2021-11-24,169,300000,2130000
246,4,236,Ethereum,2021-03-22,2021-03-22,2021-03-24,2,100000,1900000
247,4,237,Ethereum,2021-11-25,2021-11-25,2021-11-27,2,500000,1360000
248,4,238,BNB,2021-12-14,2021-12-14,2022-01-31,48,280000,480000
249,4,239,BNB,2021-10-06,2021-10-06,2021-11-23,48,420000,3260000
250,4,240,BNB,2021-10-27,2021-10-27,2021-11-15,19,250000,2850000
251,4,241,Ethereum,2021-05-30,2021-05-30,2021-08-28,90,200000,200000
252,4,242,Ethereum,2021-09-20,2021-09-22,2021-11-10,49,500000,3530000
253,4,243,BNB,2021-12-09,2021-12-09,2021-12-10,1,300000,3270000
254,4,244,Ethereum,2021-08-17,2021-08-17,2021-11-27,102,200000,1710000
255,4,245,Ethereum,2021-02-24,2021-02-24,2021-03-12,16,400000,2600000
256,4,246,Ethereum,2021-03-14,2021-03-15,2021-03-16,1,200000,5200000
257,4,247,Ethereum,2021-11-01,2021-11-02,2021-12-01,29,500000,600000
258,4,248,Ethereum,2021-08-04,2021-08-04,2021-08-13,9,200000,8190000
259,4,249,Ethereum,2021-04-28,2021-04-28,2021-05-13,15,325000,2580000
260,4,250,Ethereum,2021-09-13,2021-09-13,2021-11-24,72,225000,3150000
261,4,213,Ethereum,2021-03-14,2021-03-14,2021-03-16,2,440000,440000
262,4,251,Ethereum,2020-12-20,2021-01-07,2021-03-13,65,300000,1450000
263,4,252,Ethereum,2021-05-17,2021-05-17,2021-05-17,0,200000,2100000
264,4,253,Polkadot,2021-04-27,2021-04-27,2021-06-02,36,200000,2670000
265,4,86,Secret Network,2021-05-04,2021-05-04,2021-05-04,0,400000,11200000
266,4,254,Ethereum,2021-12-12,2021-12-12,2021-12-13,1,200000,1150000
267,4,255,BNB,2021-12-01,2021-12-01,2021-12-01,0,200000,3550000
268,4,256,BNB,2022-03-28,2022-03-28,2022-04-07,10,400000,4900000
269,4,257,Ethereum,2021-10-12,2021-10-13,2021-10-13,0,500000,3050000
270,4,258,Ethereum,2021-05-20,2021-05-20,2021-05-20,0,200000,1320000
271,4,259,BNB,2021-12-13,2021-12-13,2021-12-16,3,400000,762500
272,4,260,BNB,2021-10-11,2021-10-12,2021-11-22,41,250000,2650000
273,4,261,Ethereum,2022-01-19,2022-01-19,2022-02-09,21,500000,900000
274,4,262,BNB,2022-02-22,2022-02-22,2022-02-22,0,245000,3570000
275,4,263,BNB,2021-12-16,2021-12-16,2021-12-25,9,250000,3380000
276,4,264,Ethereum,2021-06-01,2021-06-01,2021-06-02,1,225000,275000
277,4,265,BNB,2021-05-23,2021-05-23,2021-05-23,0,300000,3100000
278,4,266,Ethereum,2021-01-04,2021-01-04,2021-04-01,87,300000,1300000
279,4,267,Ethereum,2021-01-18,2021-01-18,2021-04-05,77,150000,2050000
280,4,161,Ethereum,2021-12-15,2021-12-15,2022-01-02,18,500000,7540000
281,4,268,Polygon,2022-05-09,2022-05-09,2022-05-11,2,500000,8960000
282,4,269,Ethereum,2021-01-17,2021-01-17,2021-02-05,19,450000,1950000
283,4,270,Ethereum,2021-06-02,2021-06-02,2021-06-02,0,250000,1780000
284,4,271,Ethereum,2022-07-26,2022-07-27,2022-07-28,1,600000,6800000
285,4,272,Polygon,2021-12-12,2021-12-12,2021-12-15,3,750000,750000
286,4,273,Polygon,2022-01-05,2022-01-05,2022-01-11,6,2000000,2640000
287,4,274,Ethereum,2020-12-14,2020-12-14,2020-12-14,0,100000,100000
288,4,275,Polygon,2022-04-19,2022-04-19,2022-04-20,1,1250000,1850000
289,4,276,Ethereum,2021-07-25,2021-07-25,2021-07-25,0,250000,6650000
290,4,277,Ethereum,2021-06-14,2021-06-14,2021-06-14,0,500000,750000
291,4,278,BNB,2022-02-21,2022-02-21,2022-02-21,0,300000,650000
292,4,279,Ethereum,2021-08-30,2021-08-30,2021-09-27,28,200000,200000
293,4,280,Polygon,2021-12-15,2021-12-15,2022-02-06,53,550000,550000
294,4,281,Polygon,2022-01-24,2022-01-24,2022-07-13,170,500000,2300000
295,4,282,Avalanche,2022-03-22,2022-03-22,2022-04-05,14,400000,2490000
296,4,283,BNB,2022-04-27,2022-04-27,2022-05-09,12,800000,5720000
297,5,284,BNB,2021-09-06,2021-09-06,2021-11-02,57,125000,225000
298,5,285,Ethereum,2021-09-02,2021-09-03,2021-11-13,71,101250,288730
299,5,286,BNB,2021-09-29,2021-09-29,2021-11-17,49,112500,112500
300,5,287,BNB,2021-11-03,2021-11-03,2021-11-04,1,129000,290000
301,5,288,BNB,2021-06-20,2021-06-20,2021-11-12,145,149250,298500
302,5,114,Ethereum,2021-04-01,2021-04-01,2021-04-02,1,100000,1350000
303,5,289,BNB,2021-04-20,2021-05-01,2021-04-20,-11,80000,885000
304,5,119,Ethereum,2021-03-25,2021-03-27,2021-03-25,-2,150000,2450000
305,5,290,BNB,2021-10-29,2021-10-29,2021-10-31,2,10000,110000
306,5,123,BNB,2021-11-22,2021-11-22,2021-11-22,0,150000,1600000
307,5,291,BNB,2021-09-12,2021-09-12,2021-09-26,14,90000,90000
308,5,292,BNB,2021-08-26,2021-08-26,2021-11-30,96,90000,90000
309,5,293,BNB,2022-02-14,2022-02-14,2022-05-04,79,300000,550000
310,5,294,BNB,2021-12-01,2021-12-01,2021-12-01,0,200000,1900000
311,5,295,BNB,2022-01-19,2022-01-19,2022-02-05,17,100000,200000
312,5,296,BNB,2021-06-30,2021-06-30,2021-11-14,137,112500,237500
313,5,297,BNB,2021-06-24,2021-06-24,2021-11-10,139,150750,1930000
314,5,298,Ethereum,2021-04-22,2021-04-22,2021-11-14,206,210000,420000
315,5,299,Ethereum,2021-04-09,2021-04-09,2021-04-12,3,50000,467500
316,5,300,BNB,2022-03-02,2022-03-02,2022-03-30,28,200000,7380000
317,5,301,Ethereum,2021-05-11,2021-05-11,2021-05-12,1,150000,6470000
318,5,302,BNB,2021-11-11,2021-11-11,2021-11-17,6,230000,2660000
319,5,303,Ethereum,2021-09-14,2021-09-14,2021-11-28,75,80000,160000
320,5,136,BNB,2021-06-17,2021-06-17,2021-08-09,53,90000,1420000
321,5,304,Ethereum,2021-03-30,2021-03-30,2021-03-30,0,100000,588700
322,5,142,BNB,2021-08-09,2021-08-09,2021-08-10,1,135000,485000
323,5,305,Ethereum,2021-04-16,2021-04-16,2021-04-18,2,50000,2470000
324,5,306,Ethereum,2021-05-16,2021-05-16,2021-11-24,192,170000,4550000
325,5,307,BNB,2021-11-09,2021-11-09,2021-10-22,-18,250000,1500000
326,5,308,Ethereum,2021-05-26,2021-05-26,2021-05-26,0,75000,1540000
327,5,94,Ethereum,2021-05-02,2021-05-02,2021-05-09,7,135000,2390000
328,5,309,Ethereum,2021-12-22,2021-12-22,2021-12-26,4,700000,1400000
329,5,95,Ethereum,2021-04-21,2021-04-21,2021-04-26,5,100000,3420000
330,5,155,Ethereum,2021-04-27,2021-04-27,2021-04-27,0,1000000,11590000
331,5,310,BNB,2021-09-19,2021-09-19,2021-11-05,47,63000,202000
332,5,163,BNB,2021-06-05,2021-06-05,2021-06-06,1,100000,2910000
333,5,311,BNB,2021-09-13,2021-09-13,2021-11-01,49,500000,6430000
334,5,312,BNB,2021-12-28,2021-12-28,2021-12-28,0,175020,955020
335,5,313,Ethereum,2021-05-03,2021-05-03,2021-05-03,0,120000,1910000
336,5,314,BNB,2022-01-23,2022-01-23,2022-02-06,14,300000,1150000
337,5,315,Ethereum,2022-06-14,2022-06-14,2022-06-22,8,24000,6160000
338,5,316,Ethereum,2021-08-01,2021-08-01,2021-09-01,31,84380,9800000
339,5,166,BNB,2021-07-05,2021-07-05,2021-10-05,92,90000,664000
340,5,317,BNB,2021-12-07,2021-12-07,2021-12-08,1,125000,1880000
341,5,318,BNB,2021-05-09,2021-05-09,2021-11-19,194,90000,2100000
342,5,319,BNB,2021-07-04,2021-07-04,2021-11-12,131,112500,212500
343,5,320,BNB,2021-07-28,2021-07-28,2021-07-28,0,200000,1610000
344,5,107,Ethereum,2021-06-15,2021-06-15,2021-08-17,63,125000,3960000
345,5,321,BNB,2021-06-13,2021-06-13,2021-12-05,175,90000,837500
346,5,322,BNB,2021-09-15,2021-09-15,2021-10-02,17,0,198000
347,5,323,BNB,2022-01-13,2022-01-13,2022-01-15,2,300060,2070000
348,5,324,Ethereum,2021-08-12,2021-08-13,2021-09-08,26,800000,1690000
349,5,176,Polygon,2022-04-20,2022-04-20,2022-04-20,0,335000,1230000
350,5,325,Cardano,2022-03-20,2022-03-20,2022-03-24,4,370000,1950000
351,5,326,BNB,2021-07-18,2021-07-18,2021-07-25,7,250000,2090000
352,5,327,BNB,2021-05-17,2021-05-17,2021-05-27,10,445000,3250000
353,5,328,Ethereum,2021-06-04,2021-06-04,2021-06-06,2,250000,500000
354,5,180,BNB,2021-06-14,2021-06-14,2021-08-24,71,200000,600000
355,5,329,Cardano,2022-03-13,2022-03-13,2022-03-23,10,350000,6020000
356,5,330,BNB,2022-03-21,2022-03-21,2022-03-27,6,200000,275000
357,5,331,Ethereum,2022-01-10,2022-01-10,2022-05-06,116,300000,2400000
358,5,332,BNB,2021-08-29,2021-08-29,2021-09-03,5,1000000,1000000
359,5,333,Ethereum,2021-11-18,2021-11-18,2021-11-21,3,1500000,3500000
360,5,334,BNB,2021-05-05,2021-05-06,2021-08-24,110,450000,5750000
361,5,335,BNB,2021-07-06,2021-07-06,2021-12-06,153,113400,914400
362,5,186,Ethereum,2021-06-09,2021-06-09,2021-08-14,66,300000,600000
363,5,336,BNB,2021-06-22,2021-06-22,2021-08-14,53,200000,200000
