Project id,Launchpad,Project Name,Ticker Symbol,Blockchain,Category,Sub-Category,Market Cap,Market Cap (modified),Volume 24 hr,Volume 24 hr (modified),TGE ROI,TGE ROI (modified),TGE Mod 2 (add 1),ATH TGE ROI,ATH TGE ROI (modified),ATH TGE mod 2 (add +1),Raise by Launchpad,Raise by Launchpad (modified),Total Raise ,Total Raise (modified),IDO Start Date,IDO End Date,ATH Date,Days to reach ATH,Status
1,MISO,Yield Guild Games,YGG,"Ethereum, Harmony",GameFi,"NFT, Yield Farming, Staking, Governance, DAO, Metaverse, Play To Earn, Collectibles, Gaming Guild, Polygon Ecosystem",142.39M,142390000,8.56m,8560000,3.85,3.85,4.85,56.27,56.27,57.27,12.50m,12500000,13.83m,13830000,7/26/2021,7/26/2021,11/19/2021,116,ACTIVE
2,MISO,MARS4,MARS4,Ethereum,NFT,"Governance, Marketplace, Staking, Yield Farming, Metaverse",3.08m,3080000,181.19k,181190,0.21,0.21,1.21,8.96,8.96,9.96,400k,400000,400k,400000,9/14/2021,9/21/2021,11/2/2021,42,ACTIVE
3,MISO,XDEFI Wallet,XDEFI,"Ethereum, Terra Classic",Blockchain Infrastructure,"NFT, Payments, Cross-Chain, Governance, Wallet",11.72m,11720000,183.75k,183750,0.27,0.27,1.27,36.61,36.61,37.61,18.24m,18240000,25.44m,25440000,11/14/2021,11/16/2021,11/19/2021,3,ACTIVE
4,MISO,DotOracle,DTO,Ethereum,Blockchain Infrastructure,"Cross-Chain, Oracle, Polkadot Ecosystem",173.45k,173450,9.05k,9050,0.07,0.07,1.07,3.48,3.48,4.48,150.50k,150500,150.50k,150500,10/25/2021,10/25/2021,10/31/2021,6,ACTIVE
5,MISO,BitDAO,BIG,Ethereum,DeFi,"Governance, DAO",2.14b,2140000000,64.45m,64450000,0.5,0.5,1.5,2.18,2.18,3.18,379.26m,379260000,609.26m,609260000,8/29/2021,8/29/2021,11/11/2021,74,ACTIVE
6,MISO,99Starz,STZ,"Ethereum, BNB, Polygon",GameFi,"NFT, Yield Farming, Play To Earn, collectibles, metaverse, polygon ecosystem, bnb chain ecosystem",88.38k,88380,9.04k,9040,0.11,0.11,1.11,1.65,1.65,2.65,428.57k,428570,478.57k,478570,12/10/2021,12/19/2021,12/17/2021,-2,ACTIVE
7,MISO,Wrapped NCG,WNCG,Ethereum,GameFi,"play to earn, governance, metaverse, marketplace, nft, wrapped tokens",3.40m,3400000,734.04k,734040,0.03,0.03,1.03,1.3,1.3,2.3,8.80m,8800000,8.80m,8800000,8/9/2021,8/16/2021,8/16/2021,0,ACTIVE
8,MISO,Creaticles,CRE8,Ethereum,Blockchain Service,"freelance, governance, nft",416.10k,416100,2.11k,2110,0.04,0.04,1.04,1.1,1.1,2.1,38m,38000000,40.05m,40050000,11/30/2021,12/2/2021,12/3/2021,1,ACTIVE
9,MISO,Ethernaal,NAAL,Ethereum,NFT,"dao, marketplace, nft, collectibles",214.52k,214520,0,0,0.37,0.37,1.37,1.05,1.05,2.05,16m,16000000,16.06m,16060000,10/26/2021,10/31/2021,1/20/2022,81,INACTIVE
10,MISO,Volatility Protocol Token,VOL,Ethereum,DeFi,"index, mgnr",0,0,0,0,0,0,1,0.7,0.7,1.7,830.02k,830020,830.02k,830020,6/13/2021,6/13/2021,8/4/2021,52,INACTIVE
11,MISO,iBetYou,IBY,Ethereum,DeFi,"social, payments",0,0,0,0,0.28,0.28,1.28,0.33,0.33,1.33,130.65k,130650,274.68k,274680,6/13/2021,6/13/2021,8/25/2021,73,INACTIVE
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
